NP,Name,state,nps_page,wiki_page,establish,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average,parkSQkm,stateSQkm,elev_hi,elev_lo,relief
39,Lake Clark National Park and Preserve,Alaska,https://www.nps.gov/lacl/index.htm,https://en.wikipedia.org/wiki/Lake_Clark_National_Park_and_Preserve,12/2/1980,9931,5158,11639,13000,16100,17818,21102,22755,14479,17157,14913.9,10602,1717856,10197,0,10197
40,Lassen Volcanic National Park,California,https://www.nps.gov/lavo/index.htm,https://en.wikipedia.org/wiki/Lassen_Volcanic_National_Park,8/9/1916,384570,351269,407653,427409,432977,468092,536068,507256,499435,517039,453176.8,431.4,423970,10457,5275,5182
41,Mammoth Cave National Park,Kentucky,https://www.nps.gov/maca/index.htm,https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park,7/1/1941,497225,483319,508054,494541,522628,566895,586514,587853,533206,551590,533182.5,218.6,104659,925,421,504
42,Mesa Verde National Park,Colorado,https://www.nps.gov/meve/index.htm,https://en.wikipedia.org/wiki/Mesa_Verde_National_Park,6/29/1906,559712,572329,488860,460237,501563,547325,583527,613788,563420,556203,544696.4,212.4,269837,8571,6015,2556
43,Mount Rainier National Park,Wahington,https://www.nps.gov/mora/index.htm,https://en.wikipedia.org/wiki/Mount_Rainier_National_Park,3/2/1899,1191754,1038229,1049178,1148552,1264259,1237231,1356913,1415867,1518491,1501621,1272209.5,956.6,184827,14411,1610,12801
44,National Park of American Samoa,American Samoa,https://www.nps.gov/npsa/index.htm,https://en.wikipedia.org/wiki/National_Park_of_American_Samoa,10/31/1988,3006,8716,10440,17919,13953,13892,28892,69468,28626,60006,25492,33.4,200,3000,0,3000
45,North Cascades National Park,Washington,https://www.nps.gov/noca/index.htm,https://en.wikipedia.org/wiki/North_Cascades_National_Park,10/2/1968,24659,19208,26935,21623,23865,20677,28646,30326,30085,38208,26423.2,2042.8,184827,9206,605,8601
46,Olympic National Park,Washington,https://www.nps.gov/olym/index.htm,https://en.wikipedia.org/wiki/Olympic_National_Park,6/29/1938,2844563,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3104455,3245806,3137142.4,3733.8,184827,7962,0,7962
47,Petrified Forest National Park,Arizona,https://www.nps.gov/pefo/index.htm,https://en.wikipedia.org/wiki/Petrified_Forest_National_Park,12/9/1962,664725,614054,664857,644648,836799,793225,643274,627757,644922,643588,677784.9,895.9,295234,6234,5200,1034
48,Pinnacles National Park,California,https://www.nps.gov/pinn/index.htm,https://en.wikipedia.org/wiki/Pinnacles_National_Park,1/10/2013,246575,393219,224476,237677,196635,206533,215555,233334,222152,177224,235338,108,423970,3304,824,2480
49,Redwood National Park,California,https://www.nps.gov/redw/index.htm,https://en.wikipedia.org/wiki/Redwood_National_and_State_Parks,10/2/1968,418820,380167,352517,393364,429166,527143,536297,445000,482536,504722,446973.2,562.5,423970,3170,0,3170
50,Rocky Mountain National Park,Colorado,https://www.nps.gov/romo/index.htm,https://en.wikipedia.org/wiki/Rocky_Mountain_National_Park,1/26/1915,2955821,3176941,3229617,2991141,3434751,4155916,4517585,4437215,4590493,4670053,3815953.3,1075.7,269837,14259,7630,6629
51,Saguaro National Park,Arizona,https://www.nps.gov/sagu/index.htm,https://en.wikipedia.org/wiki/Saguaro_National_Park,10/14/1994,717614,610045,634286,678261,673572,753446,820426,964760,957405,1020226,783004.1,371.2,295234,8666,2180,6486
52,Sequoia National Park,California,https://www.nps.gov/seki/index.htm,https://en.wikipedia.org/wiki/Sequoia_National_Park,1890-08-25,1002979,1006583,1106584,909274,1039137,1097464,1254688,1291256,1229594,1246053,1118361.2,1635.2,423970,14505,1360,13145
53,Shenandoah National Park,Virginia,https://www.nps.gov/shen/index.htm,https://en.wikipedia.org/wiki/Shenandoah_National_Park,10/26/1935,1253386,1209883,1210200,1136505,1255321,1321873,1437341,1458874,1264880,1425507,1297377,806.2,110785.67,4051,530,3521
54,Theodore Roosevelt National Park,North Dakota,https://www.nps.gov/thro/index.htm,https://en.wikipedia.org/wiki/Theodore_Roosevelt_National_Park,11/10/1978,623748,563407,640555,545090,559580,580033,753880,708003,749389,691658,641534.3,285.1,183843,2860,1940,920
55,Virgin Islands National Park,US Virgin Islands,https://www.nps.gov/viis/index.htm,https://en.wikipedia.org/wiki/Virgin_Islands_National_Park,8/2/1956,493477,442414,483341,438601,426930,438372,411343,304408,112287,133398,368457.1,60.9,346.4,1277,0,1277
56,Voyageurs National Park,Minnesota,https://www.nps.gov/voya/index.htm,https://en.wikipedia.org/wiki/Voyageurs_National_Park,1/8/1971,253891,177184,214841,233390,239160,238313,241912,237250,239656,232974,230857.1,883.1,225163,1410,1108,302
57,White Sands National Park,New Mexico,https://www.nps.gov/whsa/index.htm,https://en.wikipedia.org/wiki/White_Sands_National_Park,12/20/2019,470921,428924,447385,490544,503660,497506,555793,612468,603008,608785,521899.4,592.2,314917,4116,3887,229
58,Wind Cave National Park,South Dakota,https://www.nps.gov/wica/index.htm,https://en.wikipedia.org/wiki/Wind_Cave_National_Park,1/9/1903,577141,538394,529083,516142,547022,612198,617377,619924,656397,615350,582902.8,137.5,199729,5013,3559,1454
59,Wrangell-St. Elias National Park and Preserve,Alaska,https://www.nps.gov/wrst/index.htm,https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve,12/2/1980,73170,65225,87158,69984,74722,80366,79047,68292,79450,74518,75193.2,33682.6,1717856,18008,0,18008
60,Yellowstone National Park,"Wyoming, Montana, and Idaho",https://www.nps.gov/yell/index.htm,https://en.wikipedia.org/wiki/Yellowstone_National_Park,1872-03-01,3640185,3394326,3447729,3188030,3513484,4097710,4257177,4116524,4115000,4020288,3779045.3,8983.2,,11358,5282,6076
61,Yosemite National Park,California,https://www.nps.gov/yose/index.htm,https://en.wikipedia.org/wiki/Yosemite_National_Park,1890-10-01,3901408,3951393,3853404,3691191,3882642,4150217,5028868,4336890,4009436,4422861,4122831,3082.7,423970,13114,2105,11009
62,Zion National Park,Utah,https://www.nps.gov/zion/index.htm,https://en.wikipedia.org/wiki/Zion_National_Park,11/19/1919,2665972,2825505,2973607,2807387,3189696,3648846,4295127,4504812,4320033,4488268,3571925.3,595.9,219887,8726,3640,5086
