Fruit,Year,Month,Sales
Gates_of_the_Arctic,2012,FEB,148
Gates_of_the_Arctic,2012,MAR,196
Gates_of_the_Arctic,2012,APR,50
Gates_of_the_Arctic,2012,MAY,10
Gates_of_the_Arctic,2012,JUN,2447
Gates_of_the_Arctic,2012,JUL,3432
Gates_of_the_Arctic,2012,AUG,3412
Gates_of_the_Arctic,2012,SEP,738
Gates_of_the_Arctic,2012,OCT,10
Gates_of_the_Arctic,2012,NOV,78
Gates_of_the_Arctic,2012,DEC,129
Gates_of_the_Arctic,2012,Total_visitors,10899
Gates_of_the_Arctic,2011,JAN,70
Gates_of_the_Arctic,2011,FEB,70
Gates_of_the_Arctic,2011,MAR,182
Gates_of_the_Arctic,2011,APR,15
Gates_of_the_Arctic,2011,MAY,51
Gates_of_the_Arctic,2011,JUN,2832
Gates_of_the_Arctic,2011,JUL,3713
Gates_of_the_Arctic,2011,AUG,3716
Gates_of_the_Arctic,2011,SEP,860
Gates_of_the_Arctic,2011,OCT,2
Gates_of_the_Arctic,2011,NOV,25
Gates_of_the_Arctic,2011,DEC,87
Gates_of_the_Arctic,2011,Total_visitors,11623
Gates_of_the_Arctic,2010,JAN,134
Gates_of_the_Arctic,2010,FEB,102
Gates_of_the_Arctic,2010,MAR,99
Gates_of_the_Arctic,2010,APR,0
Gates_of_the_Arctic,2010,MAY,456
Gates_of_the_Arctic,2010,JUN,2547
Gates_of_the_Arctic,2010,JUL,3191
Gates_of_the_Arctic,2010,AUG,3419
Gates_of_the_Arctic,2010,SEP,760
Gates_of_the_Arctic,2010,OCT,10
Gates_of_the_Arctic,2010,NOV,17
Gates_of_the_Arctic,2010,DEC,105
Gates_of_the_Arctic,2010,Total_visitors,10840
Gates_of_the_Arctic,2009,JAN,19
Gates_of_the_Arctic,2009,FEB,81
Gates_of_the_Arctic,2009,MAR,80
Gates_of_the_Arctic,2009,APR,12
Gates_of_the_Arctic,2009,MAY,41
Gates_of_the_Arctic,2009,JUN,2533
Gates_of_the_Arctic,2009,JUL,3471
Gates_of_the_Arctic,2009,AUG,3020
Gates_of_the_Arctic,2009,SEP,659
Gates_of_the_Arctic,2009,OCT,0
Gates_of_the_Arctic,2009,NOV,0
Gates_of_the_Arctic,2009,DEC,59
Gates_of_the_Arctic,2009,Total_visitors,9975
Gates_of_the_Arctic,2008,JAN,39
Gates_of_the_Arctic,2008,FEB,0
Gates_of_the_Arctic,2008,MAR,44
Gates_of_the_Arctic,2008,APR,0
Gates_of_the_Arctic,2008,MAY,538
Gates_of_the_Arctic,2008,JUN,2788
Gates_of_the_Arctic,2008,JUL,3777
Gates_of_the_Arctic,2008,AUG,3597
Gates_of_the_Arctic,2008,SEP,545
Gates_of_the_Arctic,2008,OCT,0
Gates_of_the_Arctic,2008,NOV,0
Gates_of_the_Arctic,2008,DEC,69
Gates_of_the_Arctic,2008,Total_visitors,11397
Gates_of_the_Arctic,2007,JAN,1
Gates_of_the_Arctic,2007,FEB,2
Gates_of_the_Arctic,2007,MAR,8
Gates_of_the_Arctic,2007,APR,0
Gates_of_the_Arctic,2007,MAY,349
Gates_of_the_Arctic,2007,JUN,2926
Gates_of_the_Arctic,2007,JUL,3473
Gates_of_the_Arctic,2007,AUG,3588
Gates_of_the_Arctic,2007,SEP,585
Gates_of_the_Arctic,2007,OCT,0
Gates_of_the_Arctic,2007,NOV,3
Gates_of_the_Arctic,2007,DEC,7
Gates_of_the_Arctic,2007,Total_visitors,10942
Gates_of_the_Arctic,2006,JAN,24
Gates_of_the_Arctic,2006,FEB,0
Gates_of_the_Arctic,2006,MAR,14
Gates_of_the_Arctic,2006,APR,11
Gates_of_the_Arctic,2006,MAY,113
Gates_of_the_Arctic,2006,JUN,2495
Gates_of_the_Arctic,2006,JUL,3487
Gates_of_the_Arctic,2006,AUG,3263
Gates_of_the_Arctic,2006,SEP,565
Gates_of_the_Arctic,2006,OCT,5
Gates_of_the_Arctic,2006,NOV,0
Gates_of_the_Arctic,2006,DEC,5
Gates_of_the_Arctic,2006,Total_visitors,9982
Gates_of_the_Arctic,2005,JAN,0
Gates_of_the_Arctic,2005,FEB,4
Gates_of_the_Arctic,2005,MAR,4
Gates_of_the_Arctic,2005,APR,1
Gates_of_the_Arctic,2005,MAY,269
Gates_of_the_Arctic,2005,JUN,2822
Gates_of_the_Arctic,2005,JUL,3128
Gates_of_the_Arctic,2005,AUG,2929
Gates_of_the_Arctic,2005,SEP,302
Gates_of_the_Arctic,2005,OCT,0
Gates_of_the_Arctic,2005,NOV,0
