UNIT_CODE,UNIT_NAME,UNIT_TYPE,state,nps_page,wiki_page,establish,parkSQmile,stateSQmile,parkSQkm,stateSQkm,elev_hi,elev_lo,relief
REDW,Redwood,National Park,California,https://www.nps.gov/redw/index.htm,https://en.wikipedia.org/wiki/Redwood_National_and_State_Parks,10/2/1968,217.1824642,163695.7322,562.5,423970,3170,0,3170
ROMO,Rocky Mountain,National Park,Colorado,https://www.nps.gov/romo/index.htm,https://en.wikipedia.org/wiki/Rocky_Mountain_National_Park,1/26/1915,415.330092,104184.6482,1075.7,269837,14259,7630,6629
SAGU,Saguaro,National Park,Arizona,https://www.nps.gov/sagu/index.htm,https://en.wikipedia.org/wiki/Saguaro_National_Park,10/14/1994,143.3211213,113990.4847,371.2,295234,8666,2180,6486
SEQU,Sequoia,National Park,California,https://www.nps.gov/seki/index.htm,https://en.wikipedia.org/wiki/Sequoia_National_Park,8/25/1890,631.3542497,163695.7322,1635.2,423970,14505,1360,13145
SHEN,Shenandoah,National Park,Virginia,https://www.nps.gov/shen/index.htm,https://en.wikipedia.org/wiki/Shenandoah_National_Park,10/26/1935,311.2755603,42774.58633,806.2,110785.67,4051,530,3521
THRO,Theodore Roosevelt,National Park,North Dakota,https://www.nps.gov/thro/index.htm,https://en.wikipedia.org/wiki/Theodore_Roosevelt_National_Park,11/10/1978,110.0777254,70982.17914,285.1,183843,2860,1940,920
VIIS,Virgin Islands,National Park,US Virgin Islands,https://www.nps.gov/viis/index.htm,https://en.wikipedia.org/wiki/Virgin_Islands_National_Park,8/2/1956,23.51362146,133.7457877,60.9,346.4,1277,0,1277
VOYA,Voyageurs,National Park,Minnesota,https://www.nps.gov/voya/index.htm,https://en.wikipedia.org/wiki/Voyageurs_National_Park,1/8/1971,340.9668163,86935.92034,883.1,225163,1410,1108,302
57,White Sands,National Park,New Mexico,https://www.nps.gov/whsa/index.htm,https://en.wikipedia.org/wiki/White_Sands_National_Park,12/20/2019,228.6496983,121590.1335,592.2,314917,4116,3887,229
WICA,Wind Cave,National Park,South Dakota,https://www.nps.gov/wica/index.htm,https://en.wikipedia.org/wiki/Wind_Cave_National_Park,1/9/1903,53.08904681,77115.79803,137.5,199729,5013,3559,1454
WRST,Wrangell-St. Elias,National Park and Preserve,Alaska,https://www.nps.gov/wrst/index.htm,https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve,12/2/1980,13004.92457,663267.9098,33682.6,1717856,18008,0,18008
YELL,Yellowstone,National Park,"Wyoming, Montana, and Idaho",https://www.nps.gov/yell/index.htm,https://en.wikipedia.org/wiki/Yellowstone_National_Park,03/01/1872,3468.432911,0,8983.2,,11358,5282,6076
YOSE,Yosemite,National Park,California,https://www.nps.gov/yose/index.htm,https://en.wikipedia.org/wiki/Yosemite_National_Park,10/01/1890,1190.237124,163695.7322,3082.7,423970,13114,2105,11009
ZION,Zion,National Park,Utah,https://www.nps.gov/zion/index.htm,https://en.wikipedia.org/wiki/Zion_National_Park,11/19/1919,230.0782763,84898.84535,595.9,219887,8726,3640,5086
